식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,대두_땅콩_여부,알레르기_권고,유제품여부,탄닌가능성,쿠마린여부,쿠마린_권고,카페인여부,알코올_유무
D102-095000000-0001,베이글,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2095,베이글,209500,해당없음,20950000,해당없음,0,해당없음,100g,306,28.5,10.0,5.83,2.18,53.48,4.58,2.7,119.0,0.76,98.0,109.0,695.0,0.0,0.0,0.0,0.058,0.083,0.308,0.0,0.0,0.0,0.58,0.01,3,식품의약품안전처,120g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-096060000-0001,샌드위치_닭가슴살,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2096,샌드위치,209606,닭가슴살,20960600,해당없음,0,해당없음,100g,240,53.2,12.18,11.92,1.78,20.96,3.09,2.4,58.0,0.17,129.0,200.0,438.0,10.0,0.0,121.0,0.174,0.113,4.896,0.38,0.0,28.07,3.16,0.17,3,식품의약품안전처,230g,해당없음,1,분석,2017-12-31,2025-04-08,False,,True,False,False,,False,False
D102-096150000-0001,샌드위치_모듬,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2096,샌드위치,209615,모듬,20961500,해당없음,0,해당없음,100g,193,67.2,9.5,13.44,1.43,8.44,0.6,1.9,78.0,0.75,187.0,152.0,358.0,36.0,22.0,164.0,0.164,0.15,0.532,2.87,0.0,82.1,3.63,0.07,3,식품의약품안전처,220g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,False,False
D102-096280000-0001,샌드위치_참치,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2096,샌드위치,209628,참치,20962800,해당없음,0,해당없음,100g,202,62.7,10.54,11.65,1.34,13.78,1.38,1.7,26.0,0.64,91.0,152.0,209.0,9.0,8.0,15.0,0.0,0.108,0.104,0.5,0.0,18.86,2.64,0.2,3,식품의약품안전처,250g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-096300000-0001,샌드위치_채소,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2096,샌드위치,209630,채소,20963000,해당없음,0,해당없음,100g,244,55.8,4.08,14.75,1.52,23.82,14.26,2.5,25.0,0.07,47.0,162.0,426.0,21.0,0.0,257.0,0.0,0.039,0.028,1.52,0.0,6.42,2.88,0.06,3,식품의약품안전처,180g,해당없음,1,분석,2017-12-31,2025-04-08,False,,True,False,False,,False,False
D102-096431100-0001,샌드위치_햄_달걀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2096,샌드위치,209643,햄,20964311,달걀,0,해당없음,100g,220,57.6,12.44,11.92,2.44,15.64,1.9,1.7,80.0,0.55,258.0,189.0,699.0,49.0,46.0,45.0,0.0,0.19,5.165,1.6,0.0,92.91,3.45,0.16,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2025-04-08,False,,True,False,False,,False,False
D102-097000000-0001,소보로빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2097,소보로빵,209700,해당없음,20970000,해당없음,0,해당없음,100g,392,19.6,8.27,15.13,1.39,55.63,16.69,2.9,42.0,0.74,107.0,120.0,396.0,54.0,52.0,17.0,0.0,0.157,0.0,0.4,0.0,50.53,6.39,0.57,3,식품의약품안전처,70g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-100000000-0001,식빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2100,식빵,210000,해당없음,21000000,해당없음,0,해당없음,100g,264,35.2,9.34,2.6,1.97,50.91,1.56,3.5,219.0,0.76,117.0,129.0,468.0,11.0,10.0,8.0,0.0,0.2,0.0,0.11,0.0,5.57,1.47,0.11,3,식품의약품안전처,100g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-105000000-0001,초코소라빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2105,초코소라빵,210500,해당없음,21050000,해당없음,0,해당없음,100g,319,32.9,3.29,10.93,1.09,51.76,9.29,2.1,67.0,1.23,101.0,182.0,215.0,22.0,20.0,23.0,0.043,0.714,0.929,0.0,0.0,19.61,4.34,0.03,3,식품의약품안전처,70g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,True,False
D102-106000000-0001,츄러스,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2106,츄러스,210600,해당없음,21060000,해당없음,0,해당없음,100g,361,22.7,6.6,11.29,1.24,58.17,22.73,3.0,24.0,0.59,178.0,64.0,363.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,2.44,0.19,3,식품의약품안전처,70g,해당없음,1,분석,2017-12-31,2025-04-08,False,,True,False,False,,False,False
D102-109000000-0001,카스텔라,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2109,카스텔라,210900,해당없음,21090000,해당없음,0,해당없음,100g,335,29.9,10.03,11.47,0.56,47.99,33.77,1.3,38.0,1.46,187.0,96.0,63.0,30.0,30.0,0.0,0.371,0.2,0.171,0.0,0.0,211.21,1.14,0.01,3,식품의약품안전처,70g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-110110000-0001,케이크_롤케이크,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2110,케이크,211011,롤케이크,21101100,해당없음,0,해당없음,100g,312,36.1,7.36,11.83,0.68,44.01,24.64,1.4,32.0,1.13,140.0,98.0,143.0,24.0,23.0,6.0,0.28,0.22,0.57,0.57,0.0,142.59,1.82,0.03,3,식품의약품안전처,100g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-110210000-0001,케이크_생크림케이크,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2110,케이크,211021,생크림케이크,21102100,해당없음,0,해당없음,100g,237,55.7,3.45,12.54,0.68,27.62,14.49,1.1,42.0,0.58,131.0,106.0,151.0,27.0,27.0,5.0,0.0,0.08,0.22,1.75,0.0,70.1,8.52,0.08,3,식품의약품안전처,100g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-111000000-0001,크로와상,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2111,크로와상,211100,해당없음,21110000,해당없음,0,해당없음,100g,446,20.6,7.52,26.98,1.55,43.31,6.1,2.3,37.0,0.8,133.0,111.0,457.0,17.0,13.0,37.0,0.0,0.24,0.0,0.0,0.0,24.5,9.75,0.27,3,식품의약품안전처,150g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
