식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,대두_땅콩_여부,알레르기_권고,유제품여부,탄닌가능성,쿠마린여부,쿠마린_권고,카페인여부,알코올_유무
D202-120000000-0335,피자_더블치즈버거 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,290,,10.66,,,,5.08,,,,,,597.0,,,,,,,,,,4.57,,3,식품의약품안전처,789g,파파존스,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0336,피자_더블치즈버거 피자 (P),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,290,,11.11,,,,5.19,,,,,,597.0,,,,,,,,,,4.44,,3,식품의약품안전처,1350g,파파존스,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0337,피자_더블치즈베이컨 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,249,,15.08,,,,3.97,,,,,,398.0,,,,,,,,,,4.76,,3,식품의약품안전처,1010g,피자헤븐,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0338,피자_더블치즈불고기 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,233,,14.1,,,,2.56,,,,,,329.0,,,,,,,,,,3.85,,3,식품의약품안전처,780g,오르새피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0339,피자_더블치즈폭탄 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,233,,13.1,,,,2.1,,,,,,332.0,,,,,,,,,,4.53,,3,식품의약품안전처,1000g,피자탑,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0340,피자_더블치즈 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,274,,18.34,,,,3.59,,,,,,459.0,,,,,,,,,,6.52,,3,식품의약품안전처,805g,킹스타피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0341,피자_더블치즈 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,290,,13.64,,,,3.64,,,,,,320.0,,,,,,,,,,6.36,,3,식품의약품안전처,880g,피자헤븐,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0342,피자_더블치즈 피자 골드스윗 (G),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,281,,16.88,,,,3.75,,,,,,409.0,,,,,,,,,,7.5,,3,식품의약품안전처,1596g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0343,피자_더블치즈 피자 골드스윗 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,281,,17.24,,,,3.45,,,,,,410.0,,,,,,,,,,7.76,,3,식품의약품안전처,926g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0344,피자_더블치즈 피자 골드스윗 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,281,,16.35,,,,3.77,,,,,,406.0,,,,,,,,,,7.55,,3,식품의약품안전처,635g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0345,피자_더블치즈 피자 리코타링 (G),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,283,,17.36,,,,2.78,,,,,,457.0,,,,,,,,,,7.64,,3,식품의약품안전처,1441g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0346,피자_더블치즈 피자 리코타링 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,282,,18.1,,,,2.86,,,,,,453.0,,,,,,,,,,7.62,,3,식품의약품안전처,836g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0347,피자_더블치즈 피자 리코타링 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,283,,17.48,,,,3.5,,,,,,460.0,,,,,,,,,,7.69,,3,식품의약품안전처,570g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0348,피자_더블치즈 피자 석쇠 (G),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,279,,18.25,,,,2.38,,,,,,425.0,,,,,,,,,,6.35,,3,식품의약품안전처,1261g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0349,피자_더블치즈 피자 석쇠 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,278,,17.93,,,,2.17,,,,,,424.0,,,,,,,,,,5.98,,3,식품의약품안전처,736g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0350,피자_더블치즈 피자 석쇠 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,278,,17.89,,,,2.44,,,,,,424.0,,,,,,,,,,6.5,,3,식품의약품안전처,490g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0351,피자_더블치즈 피자 씬도우 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,331,,19.08,,,,3.05,,,,,,439.0,,,,,,,,,,7.63,,3,식품의약품안전처,523g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0352,피자_더블치즈 피자 씬도우 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,333,,20.81,,,,4.7,,,,,,405.0,,,,,,,,,,8.05,,3,식품의약품안전처,396g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0353,피자_더블치즈 피자 치즈링 (G),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,273,,18.92,,,,2.03,,,,,,487.0,,,,,,,,,,6.76,,3,식품의약품안전처,1481g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0354,피자_더블치즈 피자 치즈링 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,273,,18.69,,,,1.87,,,,,,484.0,,,,,,,,,,6.54,,3,식품의약품안전처,856g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0355,피자_더블치즈 피자 치즈링 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,272,,18.24,,,,2.03,,,,,,496.0,,,,,,,,,,6.76,,3,식품의약품안전처,590g,7번가피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0370,피자_듬뿍체다페파로니 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,253,,12.5,,,,3.85,,,,,,442.0,,,,,,,,,,2.88,,3,식품의약품안전처,902g,피자탑,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0371,피자_디럭스(치즈) 피자 고구마크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,261,,11.01,,,,4.59,,,,,,385.0,,,,,,,,,,3.58,,3,식품의약품안전처,872g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0372,피자_디럭스(치즈) 피자 고구마크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,259,,10.23,,,,4.55,,,,,,382.0,,,,,,,,,,3.64,,3,식품의약품안전처,528g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0373,피자_디럭스(치즈) 피자 밀스크린 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,275,,11.83,,,,3.23,,,,,,500.0,,,,,,,,,,3.87,,3,식품의약품안전처,744g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0374,피자_디럭스(치즈) 피자 밀스크린 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,272,,11.76,,,,2.94,,,,,,497.0,,,,,,,,,,4.26,,3,식품의약품안전처,408g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0375,피자_디럭스(치즈) 피자 밀스크린고구마크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,266,,10.48,,,,4.76,,,,,,455.0,,,,,,,,,,3.52,,3,식품의약품안전처,840g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0376,피자_디럭스(치즈) 피자 밀스크린고구마크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,260,,10.26,,,,5.13,,,,,,446.0,,,,,,,,,,3.85,,3,식품의약품안전처,468g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0377,피자_디럭스(치즈) 피자 밀스크린체다크림크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,267,,11.32,,,,5.66,,,,,,542.0,,,,,,,,,,3.77,,3,식품의약품안전처,848g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0378,피자_디럭스(치즈) 피자 밀스크린체다크림크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,265,,11.54,,,,5.13,,,,,,545.0,,,,,,,,,,3.97,,3,식품의약품안전처,468g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0379,피자_디럭스(치즈) 피자 밀스크린치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,262,,12.38,,,,2.86,,,,,,501.0,,,,,,,,,,3.71,,3,식품의약품안전처,840g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0380,피자_디럭스(치즈) 피자 밀스크린치즈크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,254,,12.5,,,,3.75,,,,,,495.0,,,,,,,,,,3.88,,3,식품의약품안전처,480g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0381,피자_디럭스(치즈) 피자 백미스크린 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,270,,12.36,,,,6.74,,,,,,489.0,,,,,,,,,,3.93,,3,식품의약품안전처,712g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0382,피자_디럭스(치즈) 피자 백미스크린 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,264,,12.12,,,,6.06,,,,,,482.0,,,,,,,,,,4.24,,3,식품의약품안전처,396g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0383,피자_디럭스(치즈) 피자 백미스크린치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,255,,11.88,,,,5.94,,,,,,490.0,,,,,,,,,,3.66,,3,식품의약품안전처,808g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0384,피자_디럭스(치즈) 피자 백미스크린치즈크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,247,,12.99,,,,5.19,,,,,,487.0,,,,,,,,,,3.9,,3,식품의약품안전처,462g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0385,피자_디럭스(치즈) 피자 씬 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,220,,14.46,,,,3.61,,,,,,528.0,,,,,,,,,,3.61,,3,식품의약품안전처,664g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0386,피자_디럭스(치즈) 피자 씬 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,220,,13.64,,,,4.55,,,,,,527.0,,,,,,,,,,3.64,,3,식품의약품안전처,396g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0387,피자_디럭스(치즈) 피자 체다크림크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,263,,11.82,,,,5.45,,,,,,469.0,,,,,,,,,,3.82,,3,식품의약품안전처,880g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0388,피자_디럭스(치즈) 피자 체다크림크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,264,,11.36,,,,5.68,,,,,,469.0,,,,,,,,,,3.75,,3,식품의약품안전처,528g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0389,피자_디럭스(치즈) 피자 치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,257,,11.93,,,,3.67,,,,,,429.0,,,,,,,,,,3.76,,3,식품의약품안전처,872g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0390,피자_디럭스(치즈) 피자 치즈크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,256,,12.36,,,,3.37,,,,,,433.0,,,,,,,,,,3.71,,3,식품의약품안전처,534g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0391,피자_디럭스(치즈) 피자 팬 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,267,,12.24,,,,3.06,,,,,,415.0,,,,,,,,,,3.98,,3,식품의약품안전처,784g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0392,피자_디럭스(치즈) 피자 팬 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,269,,11.54,,,,3.85,,,,,,418.0,,,,,,,,,,3.97,,3,식품의약품안전처,468g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0393,피자_디럭스(치즈) 피자 흑미스크린 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,260,,12.22,,,,5.56,,,,,,421.0,,,,,,,,,,4.0,,3,식품의약품안전처,720g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0394,피자_디럭스(치즈) 피자 흑미스크린 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,258,,12.12,,,,4.55,,,,,,426.0,,,,,,,,,,4.24,,3,식품의약품안전처,396g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0395,피자_디럭스(치즈) 피자 흑미스크린치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,250,,11.88,,,,4.95,,,,,,435.0,,,,,,,,,,3.76,,3,식품의약품안전처,808g,지정환피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0396,피자_디럭스(치즈) 피자 흑미스크린치즈크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,244,,11.69,,,,5.19,,,,,,439.0,,,,,,,,,,3.9,,3,식품의약품안전처,462g,지정환피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0397,피자_디럭스치즈 피자 라이스골드 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,277,,18.03,,,,3.45,,,,,,137.0,,,,,,,,,,4.45,,3,식품의약품안전처,1428g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0398,피자_디럭스치즈 피자 라이스골드 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,293,,17.6,,,,2.45,,,,,,124.0,,,,,,,,,,5.07,,3,식품의약품안전처,1090g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0399,피자_디럭스치즈 피자 라이스골드 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,298,,17.86,,,,2.44,,,,,,123.0,,,,,,,,,,5.0,,3,식품의약품안전처,620g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0400,피자_디럭스치즈 피자 라이스바이트 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,286,,16.7,,,,2.71,,,,,,192.0,,,,,,,,,,4.09,,3,식품의약품안전처,1510g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0401,피자_디럭스치즈 피자 라이스바이트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,294,,17.06,,,,3.16,,,,,,87.0,,,,,,,,,,1.87,,3,식품의약품안전처,1170g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0402,피자_디럭스치즈 피자 석쇠 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,292,,18.48,,,,3.1,,,,,,135.0,,,,,,,,,,2.8,,3,식품의약품안전처,1005g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0403,피자_디럭스치즈 피자 석쇠 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,294,,18.54,,,,3.1,,,,,,133.0,,,,,,,,,,2.77,,3,식품의약품안전처,730g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0404,피자_디럭스치즈 피자 석쇠 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,298,,18.59,,,,3.18,,,,,,131.0,,,,,,,,,,2.67,,3,식품의약품안전처,370g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0405,피자_디럭스치즈 피자 치즈크러스트 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,289,,18.81,,,,2.73,,,,,,145.0,,,,,,,,,,3.8,,3,식품의약품안전처,1135g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0406,피자_디럭스치즈 피자 치즈크러스트 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,298,,18.99,,,,2.75,,,,,,137.0,,,,,,,,,,3.67,,3,식품의약품안전처,930g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0407,피자_디럭스치즈 피자 치즈크러스트 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,302,,19.04,,,,2.69,,,,,,133.0,,,,,,,,,,3.77,,3,식품의약품안전처,540g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0408,피자_디럭스치즈 피자 팬 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,298,,18.5,,,,3.14,,,,,,127.0,,,,,,,,,,2.6,,3,식품의약품안전처,1105g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0409,피자_디럭스치즈 피자 팬 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,299,,18.56,,,,3.14,,,,,,127.0,,,,,,,,,,2.61,,3,식품의약품안전처,790g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0410,피자_디럭스치즈 피자 팬 (R),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,303,,18.62,,,,3.2,,,,,,125.0,,,,,,,,,,2.52,,3,식품의약품안전처,400g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0413,피자_딥치즈고구마 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,267,,14.89,,,,7.0,,,,,,397.0,,,,,,,,,,7.0,,3,식품의약품안전처,1128g,네오피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0414,피자_딥치즈더블바베큐 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,246,,16.96,,,,5.84,,,,,,450.0,,,,,,,,,,4.62,,3,식품의약품안전처,1128g,네오피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0415,피자_딥치즈불닭 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,266,,18.5,,,,7.62,,,,,,543.0,,,,,,,,,,5.68,,3,식품의약품안전처,1184g,네오피자,2,수집,2022-10-30,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0416,피자_딥치즈콤비네이션 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,286,,18.61,,,,7.27,,,,,,472.0,,,,,,,,,,7.61,,3,식품의약품안전처,1264g,네오피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0417,피자_딥치즈포테이토 피자 (L),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,245,,14.2,,,,5.24,,,,,,461.0,,,,,,,,,,5.19,,3,식품의약품안전처,1264g,네오피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
D202-120000000-0435,피자_랍스타 피자 치즈크러스트 (F),D,음식,2,외식(프랜차이즈 등 업체 제공 영양정,2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100g,247,,15.39,,,,3.46,,,,,,227.0,,,,,,,,,,3.08,,3,식품의약품안전처,1465g,임실N치즈피자,2,수집,2023-10-31,2025-04-08,False,,True,False,False,,False,False
